layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
Quant_IP-7-100,Quant_IP-7-101,Quant_IP-7-100,768,768,590594,590594,0
Quant_IP-7-101,Quant_IP-7-102,Quant_IP-7-101,768,768,590594,590594,0
Quant_IP-7-102,Quant_MatMul-7-1032,Quant_IP-7-102,768,768,590594,590594,0
Quant_MatMul-7-1032,Quant_MatMul-7-1042,Quant_MatMul-7-1032,768,768,2,589824,0
Quant_MatMul-7-1042,Quant_IP-7-106,Quant_MatMul-7-1042,768,768,2,589824,0
Quant_IP-7-106,LayerNorm-7-107,Quant_IP-7-106,768,768,590594,590594,0
LayerNorm-7-107,Quant_IP-6-80,LayerNorm-7-107,768,768,1536,1536,0
Quant_IP-6-80,GELUActivation-6-81,Quant_IP-6-80,3072,768,2362370,2362370,0
GELUActivation-6-81,Quant_IP-6-82,GELUActivation-6-81,3072,3072,0,3072,0
Quant_IP-6-82,LayerNorm-6-83,Quant_IP-6-82,768,3072,2360066,2360066,0
LayerNorm-6-83,Quant_IP-3-7,LayerNorm-6-83,768,768,1536,1536,0
Quant_IP-3-7,Tanh-3-8,Quant_IP-3-7,768,768,590594,590594,0
Tanh-3-8,Quant_IP-1-3,Tanh-3-8,768,768,0,768,0
Quant_IP-1-3,LAST_LAYER,Quant_IP-1-3,2,768,1540,1540,0
