layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
BatchNorm2d-3-110,ReLU-3-111,BatchNorm2d-3-110,200704,200704,2048,2048,1
ReLU-3-111,Conv2d-3-112,ReLU-3-111,200704,200704,0,0,1
Conv2d-3-112,BatchNorm2d-3-113,Conv2d-3-112,200704,50176,262144,51380224,1
BatchNorm2d-3-113,ReLU-3-114,BatchNorm2d-3-113,50176,50176,512,512,1
ReLU-3-114,Conv2d-3-115,ReLU-3-114,50176,50176,0,0,1
Conv2d-3-115,BatchNorm2d-3-116,Conv2d-3-115,50176,50176,589824,115605504,1
BatchNorm2d-3-116,ReLU-3-117,BatchNorm2d-3-116,50176,50176,512,512,1
ReLU-3-117,Conv2d-3-118,ReLU-3-117,50176,50176,0,0,1
Conv2d-3-118,BatchNorm2d-3-119,Conv2d-3-118,50176,200704,262144,51380224,1
BatchNorm2d-3-119,ReLU-3-120,BatchNorm2d-3-119,200704,200704,2048,2048,1
ReLU-3-120,Conv2d-3-121,ReLU-3-120,200704,200704,0,0,1
Conv2d-3-121,BatchNorm2d-3-122,Conv2d-3-121,200704,100352,524288,102760448,1
BatchNorm2d-3-122,ReLU-3-123,BatchNorm2d-3-122,100352,100352,1024,1024,1
ReLU-3-123,Conv2d-3-124,ReLU-3-123,100352,100352,0,0,1
Conv2d-3-124,BatchNorm2d-3-125,Conv2d-3-124,100352,25088,2359296,115605504,1
BatchNorm2d-3-125,ReLU-3-126,BatchNorm2d-3-125,25088,25088,1024,1024,1
ReLU-3-126,Conv2d-3-127,ReLU-3-126,25088,25088,0,0,1
Conv2d-3-127,BatchNorm2d-3-128,Conv2d-3-127,25088,100352,1048576,51380224,1
BatchNorm2d-3-128,Conv2d-4-7,BatchNorm2d-3-128,100352,100352,4096,4096,1
Conv2d-4-7,BatchNorm2d-4-8,Conv2d-4-7,200704,100352,2097152,102760448,1
BatchNorm2d-4-8,ReLU-3-130,BatchNorm2d-4-8,100352,100352,4096,4096,1
ReLU-3-130,Conv2d-3-131,ReLU-3-130,100352,100352,0,0,1
Conv2d-3-131,BatchNorm2d-3-132,Conv2d-3-131,100352,25088,1048576,51380224,1
BatchNorm2d-3-132,ReLU-3-133,BatchNorm2d-3-132,25088,25088,1024,1024,1
ReLU-3-133,Conv2d-3-134,ReLU-3-133,25088,25088,0,0,1
Conv2d-3-134,BatchNorm2d-3-135,Conv2d-3-134,25088,25088,2359296,115605504,1
BatchNorm2d-3-135,ReLU-3-136,BatchNorm2d-3-135,25088,25088,1024,1024,1
ReLU-3-136,Conv2d-3-137,ReLU-3-136,25088,25088,0,0,1
Conv2d-3-137,BatchNorm2d-3-138,Conv2d-3-137,25088,100352,1048576,51380224,1
BatchNorm2d-3-138,ReLU-3-139,BatchNorm2d-3-138,100352,100352,4096,4096,1
ReLU-3-139,Conv2d-3-140,ReLU-3-139,100352,100352,0,0,1
Conv2d-3-140,BatchNorm2d-3-141,Conv2d-3-140,100352,25088,1048576,51380224,1
BatchNorm2d-3-141,ReLU-3-142,BatchNorm2d-3-141,25088,25088,1024,1024,1
ReLU-3-142,Conv2d-3-143,ReLU-3-142,25088,25088,0,0,1
Conv2d-3-143,BatchNorm2d-3-144,Conv2d-3-143,25088,25088,2359296,115605504,1
BatchNorm2d-3-144,ReLU-3-145,BatchNorm2d-3-144,25088,25088,1024,1024,1
ReLU-3-145,Conv2d-3-146,ReLU-3-145,25088,25088,0,0,1
Conv2d-3-146,BatchNorm2d-3-147,Conv2d-3-146,25088,100352,1048576,51380224,1
BatchNorm2d-3-147,ReLU-3-148,BatchNorm2d-3-147,100352,100352,4096,4096,1
ReLU-3-148,AdaptiveAvgPool2d-1-9,ReLU-3-148,100352,100352,0,0,1
AdaptiveAvgPool2d-1-9,Linear-1-10,AdaptiveAvgPool2d-1-9,100352,2048,0,0,1
Linear-1-10,LAST_LAYER,Linear-1-10,2048,1000,2049000,2049000,1
