layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
mobilenet_v2_features_9_batchnorm_3,mobilenet_v2_features_10_conv_0_0,mobilenet_v2_features_9_batchnorm_3,12544,12544,128,128,0
mobilenet_v2_features_10_conv_0_0,mobilenet_v2_features_10_batchnorm_0_1,mobilenet_v2_features_10_conv_0_0,12544,75264,24576,4816896,0
mobilenet_v2_features_10_batchnorm_0_1,mobilenet_v2_features_10_conv_1_0,mobilenet_v2_features_10_batchnorm_0_1,75264,75264,768,768,0
mobilenet_v2_features_10_conv_1_0,mobilenet_v2_features_10_batchnorm_1_1,mobilenet_v2_features_10_conv_1_0,75264,75264,3456,677376,0
mobilenet_v2_features_10_batchnorm_1_1,mobilenet_v2_features_10_conv_2,mobilenet_v2_features_10_batchnorm_1_1,75264,75264,768,768,0
mobilenet_v2_features_10_conv_2,mobilenet_v2_features_10_batchnorm_3,mobilenet_v2_features_10_conv_2,75264,12544,24576,4816896,0
mobilenet_v2_features_10_batchnorm_3,mobilenet_v2_features_11_conv_0_0,mobilenet_v2_features_10_batchnorm_3,12544,12544,128,128,0
mobilenet_v2_features_11_conv_0_0,mobilenet_v2_features_11_batchnorm_0_1,mobilenet_v2_features_11_conv_0_0,12544,75264,24576,4816896,0
mobilenet_v2_features_11_batchnorm_0_1,mobilenet_v2_features_11_conv_1_0,mobilenet_v2_features_11_batchnorm_0_1,75264,75264,768,768,0
mobilenet_v2_features_11_conv_1_0,mobilenet_v2_features_11_batchnorm_1_1,mobilenet_v2_features_11_conv_1_0,75264,75264,3456,677376,0
mobilenet_v2_features_11_batchnorm_1_1,mobilenet_v2_features_11_conv_2,mobilenet_v2_features_11_batchnorm_1_1,75264,75264,768,768,0
mobilenet_v2_features_11_conv_2,mobilenet_v2_features_11_batchnorm_3,mobilenet_v2_features_11_conv_2,75264,18816,36864,7225344,0
mobilenet_v2_features_11_batchnorm_3,mobilenet_v2_features_12_conv_0_0,mobilenet_v2_features_11_batchnorm_3,18816,18816,192,192,0
mobilenet_v2_features_12_conv_0_0,mobilenet_v2_features_12_batchnorm_0_1,mobilenet_v2_features_12_conv_0_0,18816,112896,55296,10838016,0
mobilenet_v2_features_12_batchnorm_0_1,mobilenet_v2_features_12_conv_1_0,mobilenet_v2_features_12_batchnorm_0_1,112896,112896,1152,1152,0
mobilenet_v2_features_12_conv_1_0,mobilenet_v2_features_12_batchnorm_1_1,mobilenet_v2_features_12_conv_1_0,112896,112896,5184,1016064,0
mobilenet_v2_features_12_batchnorm_1_1,mobilenet_v2_features_12_conv_2,mobilenet_v2_features_12_batchnorm_1_1,112896,112896,1152,1152,0
mobilenet_v2_features_12_conv_2,mobilenet_v2_features_12_batchnorm_3,mobilenet_v2_features_12_conv_2,112896,18816,55296,10838016,0
mobilenet_v2_features_12_batchnorm_3,mobilenet_v2_features_13_conv_0_0,mobilenet_v2_features_12_batchnorm_3,18816,18816,192,192,0
mobilenet_v2_features_13_conv_0_0,mobilenet_v2_features_13_batchnorm_0_1,mobilenet_v2_features_13_conv_0_0,18816,112896,55296,10838016,0
mobilenet_v2_features_13_batchnorm_0_1,mobilenet_v2_features_13_conv_1_0,mobilenet_v2_features_13_batchnorm_0_1,112896,112896,1152,1152,0
mobilenet_v2_features_13_conv_1_0,mobilenet_v2_features_13_batchnorm_1_1,mobilenet_v2_features_13_conv_1_0,112896,112896,5184,1016064,0
mobilenet_v2_features_13_batchnorm_1_1,mobilenet_v2_features_13_conv_2,mobilenet_v2_features_13_batchnorm_1_1,112896,112896,1152,1152,0
mobilenet_v2_features_13_conv_2,mobilenet_v2_features_13_batchnorm_3,mobilenet_v2_features_13_conv_2,112896,18816,55296,10838016,0
mobilenet_v2_features_13_batchnorm_3,mobilenet_v2_features_14_conv_0_0,mobilenet_v2_features_13_batchnorm_3,18816,18816,192,192,0
mobilenet_v2_features_14_conv_0_0,mobilenet_v2_features_14_batchnorm_0_1,mobilenet_v2_features_14_conv_0_0,18816,112896,55296,10838016,0
mobilenet_v2_features_14_batchnorm_0_1,mobilenet_v2_features_14_conv_1_0,mobilenet_v2_features_14_batchnorm_0_1,112896,112896,1152,1152,0
mobilenet_v2_features_14_conv_1_0,mobilenet_v2_features_14_batchnorm_1_1,mobilenet_v2_features_14_conv_1_0,112896,28224,5184,254016,0
mobilenet_v2_features_14_batchnorm_1_1,mobilenet_v2_features_14_conv_2,mobilenet_v2_features_14_batchnorm_1_1,28224,28224,1152,1152,0
mobilenet_v2_features_14_conv_2,mobilenet_v2_features_14_batchnorm_3,mobilenet_v2_features_14_conv_2,28224,7840,92160,4515840,0
mobilenet_v2_features_14_batchnorm_3,mobilenet_v2_features_15_conv_0_0,mobilenet_v2_features_14_batchnorm_3,7840,7840,320,320,0
mobilenet_v2_features_15_conv_0_0,mobilenet_v2_features_15_batchnorm_0_1,mobilenet_v2_features_15_conv_0_0,7840,47040,153600,153600,0
mobilenet_v2_features_15_batchnorm_0_1,mobilenet_v2_features_15_conv_1_0,mobilenet_v2_features_15_batchnorm_0_1,47040,47040,1920,1920,0
mobilenet_v2_features_15_conv_1_0,mobilenet_v2_features_15_batchnorm_1_1,mobilenet_v2_features_15_conv_1_0,47040,47040,8640,423360,0
mobilenet_v2_features_15_batchnorm_1_1,mobilenet_v2_features_15_conv_2,mobilenet_v2_features_15_batchnorm_1_1,47040,47040,1920,1920,0
mobilenet_v2_features_15_conv_2,mobilenet_v2_features_15_batchnorm_3,mobilenet_v2_features_15_conv_2,47040,7840,153600,7526400,0
mobilenet_v2_features_15_batchnorm_3,mobilenet_v2_features_16_conv_0_0,mobilenet_v2_features_15_batchnorm_3,7840,7840,320,320,0
mobilenet_v2_features_16_conv_0_0,mobilenet_v2_features_16_batchnorm_0_1,mobilenet_v2_features_16_conv_0_0,7840,47040,153600,7526400,0
mobilenet_v2_features_16_batchnorm_0_1,mobilenet_v2_features_16_conv_1_0,mobilenet_v2_features_16_batchnorm_0_1,47040,47040,1920,1920,0
mobilenet_v2_features_16_conv_1_0,mobilenet_v2_features_16_batchnorm_1_1,mobilenet_v2_features_16_conv_1_0,47040,47040,8640,423360,0
mobilenet_v2_features_16_batchnorm_1_1,mobilenet_v2_features_16_conv_2,mobilenet_v2_features_16_batchnorm_1_1,47040,47040,1920,1920,0
mobilenet_v2_features_16_conv_2,mobilenet_v2_features_16_batchnorm_3,mobilenet_v2_features_16_conv_2,47040,7840,153600,7526400,0
mobilenet_v2_features_16_batchnorm_3,mobilenet_v2_features_17_conv_0_0,mobilenet_v2_features_16_batchnorm_3,7840,7840,320,320,0
mobilenet_v2_features_17_conv_0_0,mobilenet_v2_features_17_batchnorm_0_1,mobilenet_v2_features_17_conv_0_0,7840,47040,153600,7526400,0
mobilenet_v2_features_17_batchnorm_0_1,mobilenet_v2_features_17_conv_1_0,mobilenet_v2_features_17_batchnorm_0_1,47040,47040,1920,1920,0
mobilenet_v2_features_17_conv_1_0,mobilenet_v2_features_17_batchnorm_1_1,mobilenet_v2_features_17_conv_1_0,47040,47040,8640,423360,0
mobilenet_v2_features_17_batchnorm_1_1,mobilenet_v2_features_17_conv_2,mobilenet_v2_features_17_batchnorm_1_1,47040,47040,1920,1920,0
mobilenet_v2_features_17_conv_2,mobilenet_v2_features_17_batchnorm_3,mobilenet_v2_features_17_conv_2,47040,15680,307200,15052800,0
mobilenet_v2_features_17_batchnorm_3,mobilenet_v2_features_18_0,mobilenet_v2_features_17_batchnorm_3,15680,15680,640,640,0
mobilenet_v2_features_18_0,mobilenet_v2_features_18_1,mobilenet_v2_features_18_0,15680,62720,409600,20070400,0
mobilenet_v2_features_18_1,mobilenet_v2_classifier_1,mobilenet_v2_features_18_1,62720,62720,2560,2560,0
mobilenet_v2_classifier_1,LAST_LAYER,mobilenet_v2_classifier_1,1280,1000,1281000,1281000,0
